name, averageDwellTime, averageFlightTime
andee, 108, 23.0
andee, 108, 52.333333333333336
andee, 111, 37.333333333333336
joehaaga, 104, 131.33333333333334
joehaaga, 93, 41.333333333333336
joehaaga, 103, 167.33333333333334
