keydown,Shift,2752567
keydown,J,2752737
keypress,J,2752738
keyup,J,2752856
keyup,Shift,2752887
keydown,o,27530
keypress,o,27531
keyup,o,2753104
keydown,s,2753168
keypress,s,2753169
keydown,e,2753280
keypress,e,2753281
keyup,s,2753303
keydown,p,2753392
keypress,p,2753393
keyup,e,2753431
keydown,h,2753472
keypress,h,2753473
keyup,p,2753519
keyup,h,2753599
